node_id,node_type,max_value
consumptionNode_1,consumptionNode,68
consumptionNode_2,consumptionNode,90
consumptionNode_3,consumptionNode,75
consumptionNode_4,consumptionNode,100
consumptionNode_5,consumptionNode,68
consumptionNode_6,consumptionNode,61
consumptionNode_7,consumptionNode,98
consumptionNode_8,consumptionNode,69
consumptionNode_9,consumptionNode,62
consumptionNode_10,consumptionNode,99
consumptionNode_11,consumptionNode,67
consumptionNode_12,consumptionNode,98
consumptionNode_13,consumptionNode,98
consumptionNode_14,consumptionNode,99
consumptionNode_15,consumptionNode,82
consumptionNode_16,consumptionNode,92
consumptionNode_17,consumptionNode,70
consumptionNode_18,consumptionNode,85
consumptionNode_19,consumptionNode,60
consumptionNode_20,consumptionNode,80
consumptionNode_21,consumptionNode,100
consumptionNode_22,consumptionNode,100
consumptionNode_23,consumptionNode,83
consumptionNode_24,consumptionNode,86
consumptionNode_25,consumptionNode,69
consumptionNode_26,consumptionNode,64
consumptionNode_27,consumptionNode,66
consumptionNode_28,consumptionNode,84
consumptionNode_29,consumptionNode,68
consumptionNode_30,consumptionNode,100
consumptionNode_31,consumptionNode,98
consumptionNode_32,consumptionNode,99
consumptionNode_33,consumptionNode,89
consumptionNode_34,consumptionNode,87
consumptionNode_35,consumptionNode,87
consumptionNode_36,consumptionNode,74
consumptionNode_37,consumptionNode,80
productionNode_1,productionNode,1962
