node_id,node_type,max_value
consumptionNode_1,consumptionNode,64
consumptionNode_2,consumptionNode,63
consumptionNode_3,consumptionNode,76
consumptionNode_4,consumptionNode,65
consumptionNode_5,consumptionNode,80
consumptionNode_6,consumptionNode,61
consumptionNode_7,consumptionNode,95
consumptionNode_8,consumptionNode,94
consumptionNode_9,consumptionNode,98
consumptionNode_10,consumptionNode,68
consumptionNode_11,consumptionNode,66
consumptionNode_12,consumptionNode,81
consumptionNode_13,consumptionNode,66
consumptionNode_14,consumptionNode,89
consumptionNode_15,consumptionNode,71
consumptionNode_16,consumptionNode,77
consumptionNode_17,consumptionNode,83
consumptionNode_18,consumptionNode,71
consumptionNode_19,consumptionNode,80
consumptionNode_20,consumptionNode,81
consumptionNode_21,consumptionNode,100
consumptionNode_22,consumptionNode,71
consumptionNode_23,consumptionNode,100
consumptionNode_24,consumptionNode,78
consumptionNode_25,consumptionNode,90
consumptionNode_26,consumptionNode,74
consumptionNode_27,consumptionNode,62
consumptionNode_28,consumptionNode,83
consumptionNode_29,consumptionNode,74
consumptionNode_30,consumptionNode,79
consumptionNode_31,consumptionNode,97
consumptionNode_32,consumptionNode,73
consumptionNode_33,consumptionNode,84
productionNode_1,productionNode,1457
productionNode_2,productionNode,1416
productionNode_3,productionNode,476
