node_id,node_type,max_value
consumptionNode_1,consumptionNode,75
consumptionNode_2,consumptionNode,91
consumptionNode_3,consumptionNode,63
consumptionNode_4,consumptionNode,60
consumptionNode_5,consumptionNode,69
consumptionNode_6,consumptionNode,61
consumptionNode_7,consumptionNode,75
consumptionNode_8,consumptionNode,63
consumptionNode_9,consumptionNode,99
consumptionNode_10,consumptionNode,83
consumptionNode_11,consumptionNode,100
consumptionNode_12,consumptionNode,82
consumptionNode_13,consumptionNode,89
consumptionNode_14,consumptionNode,67
consumptionNode_15,consumptionNode,88
consumptionNode_16,consumptionNode,85
consumptionNode_17,consumptionNode,70
consumptionNode_18,consumptionNode,92
consumptionNode_19,consumptionNode,97
consumptionNode_20,consumptionNode,87
consumptionNode_21,consumptionNode,67
consumptionNode_22,consumptionNode,71
consumptionNode_23,consumptionNode,86
consumptionNode_24,consumptionNode,79
consumptionNode_25,consumptionNode,71
consumptionNode_26,consumptionNode,76
consumptionNode_27,consumptionNode,91
consumptionNode_28,consumptionNode,64
consumptionNode_29,consumptionNode,91
consumptionNode_30,consumptionNode,75
consumptionNode_31,consumptionNode,92
productionNode_1,productionNode,1920
