node_id,energy,time,issue_type,starting_time,rootcause
consumptionNode_1,32.08109281415553,0,none,0,0
consumptionNode_1,35.05383925074672,1,none,0,0
consumptionNode_1,38.06626858748847,2,none,0,0
consumptionNode_1,40.68069003866799,3,none,0,0
consumptionNode_1,43.99397154985505,4,none,0,0
consumptionNode_1,45.32309466116206,5,none,0,0
consumptionNode_1,49.64897621187705,6,none,0,0
consumptionNode_1,51.671433959602666,7,none,0,0
consumptionNode_1,53.72727593950935,8,none,0,0
consumptionNode_1,55.13454283933026,9,none,0,0
consumptionNode_1,56.90523242541865,10,none,0,0
consumptionNode_1,57.50003738839491,11,none,0,0
consumptionNode_1,55.307217570201374,12,none,0,0
consumptionNode_1,57.040881504002186,13,none,0,0
consumptionNode_1,58.08676466221418,14,none,0,0
consumptionNode_1,57.42285575354292,15,none,0,0
consumptionNode_1,59.093477862192515,16,none,0,0
consumptionNode_1,59.863418321761934,17,none,0,0
consumptionNode_1,61.669742804687985,18,none,0,0
consumptionNode_1,55.901790643891474,19,none,0,0
consumptionNode_1,58.027819513112256,20,none,0,0
consumptionNode_1,58.99735519370348,21,none,0,0
consumptionNode_1,58.11317899856437,22,none,0,0
consumptionNode_1,62.17226517881556,23,none,0,0
consumptionNode_1,57.52918251009122,24,none,0,0
consumptionNode_1,62.92491265451415,25,none,0,0
consumptionNode_1,62.788746542122,26,none,0,0
consumptionNode_1,64.1709038992032,27,none,0,0
consumptionNode_1,60.11040995094371,28,none,0,0
consumptionNode_1,59.569784367491074,29,none,0,0
consumptionNode_1,64.98020234621335,30,none,0,0
consumptionNode_1,60.65205188283706,31,none,0,0
consumptionNode_1,60.486972920802,32,none,0,0
consumptionNode_1,62.45305040682183,33,none,0,0
consumptionNode_1,58.26209736338232,34,none,0,0
consumptionNode_1,57.73179728609409,35,none,0,0
consumptionNode_1,58.679743185286625,36,none,0,0
consumptionNode_1,59.380766381092116,37,none,0,0
consumptionNode_1,62.25876435357197,38,none,0,0
consumptionNode_1,63.5333621088032,39,none,0,0
consumptionNode_1,61.23839071056548,40,none,0,0
consumptionNode_1,71.01164655611223,41,none,0,0
consumptionNode_1,64.49586833930225,42,none,0,0
consumptionNode_1,68.03554204611358,43,none,0,0
consumptionNode_1,66.82365426973521,44,none,0,0
consumptionNode_1,71.78731117382755,45,none,0,0
consumptionNode_1,66.82143141814377,46,none,0,0
consumptionNode_1,67.22965928212727,47,none,0,0
consumptionNode_1,65.31419065161313,48,none,0,0
consumptionNode_1,64.77617411673657,49,none,0,0
consumptionNode_1,65.50571826621707,50,none,0,0
consumptionNode_1,65.31730527663261,51,none,0,0
consumptionNode_1,64.70701941253853,52,none,0,0
consumptionNode_1,59.57914104280134,53,none,0,0
consumptionNode_1,56.23821933022201,54,none,0,0
consumptionNode_1,57.671237964709675,55,none,0,0
consumptionNode_1,57.07655783819512,56,none,0,0
consumptionNode_1,57.53109911551551,57,none,0,0
consumptionNode_1,55.647543635379066,58,none,0,0
consumptionNode_1,52.24302086644666,59,none,0,0
consumptionNode_1,48.446336421756996,60,none,0,0
consumptionNode_1,51.765168844776795,61,none,0,0
consumptionNode_1,49.979681191542724,62,none,0,0
consumptionNode_1,45.823950733135405,63,none,0,0
consumptionNode_1,45.96380079128935,64,none,0,0
consumptionNode_1,44.13816560410453,65,none,0,0
consumptionNode_1,41.434876916588955,66,none,0,0
consumptionNode_1,40.557929208221005,67,none,0,0
consumptionNode_1,38.4367869475125,68,none,0,0
consumptionNode_1,37.05740692683226,69,none,0,0
consumptionNode_1,35.33008285915706,70,none,0,0
consumptionNode_1,33.89365451460762,71,none,0,0
consumptionNode_1,32.834683030961784,72,none,0,0
consumptionNode_1,32.79569816241966,73,none,0,0
consumptionNode_1,33.77098956117834,74,none,0,0
consumptionNode_1,33.942588648165604,75,none,0,0
consumptionNode_1,33.95936897002046,76,none,0,0
consumptionNode_1,34.829760235664125,77,none,0,0
consumptionNode_1,35.2964010783467,78,none,0,0
consumptionNode_1,35.40691185053143,79,none,0,0
