node_id_origin,node_id_destination,relation_type
consumptionNode_1,consumptionNode_27,distributionRelation
consumptionNode_1,consumptionNode_5,distributionRelation
consumptionNode_1,consumptionNode_6,distributionRelation
consumptionNode_2,consumptionNode_4,distributionRelation
consumptionNode_2,consumptionNode_12,distributionRelation
consumptionNode_2,consumptionNode_24,distributionRelation
consumptionNode_3,consumptionNode_11,distributionRelation
consumptionNode_4,consumptionNode_10,distributionRelation
consumptionNode_5,consumptionNode_7,distributionRelation
consumptionNode_6,consumptionNode_8,distributionRelation
consumptionNode_8,consumptionNode_5,distributionRelation
consumptionNode_8,consumptionNode_13,distributionRelation
consumptionNode_8,consumptionNode_21,distributionRelation
consumptionNode_9,consumptionNode_29,distributionRelation
consumptionNode_11,consumptionNode_15,distributionRelation
consumptionNode_12,consumptionNode_7,distributionRelation
consumptionNode_12,consumptionNode_11,distributionRelation
consumptionNode_13,consumptionNode_2,distributionRelation
consumptionNode_14,consumptionNode_20,distributionRelation
consumptionNode_14,consumptionNode_19,distributionRelation
consumptionNode_15,consumptionNode_18,distributionRelation
consumptionNode_16,consumptionNode_14,distributionRelation
consumptionNode_18,consumptionNode_3,distributionRelation
consumptionNode_19,consumptionNode_3,distributionRelation
consumptionNode_20,consumptionNode_17,distributionRelation
consumptionNode_21,consumptionNode_17,distributionRelation
consumptionNode_22,consumptionNode_23,distributionRelation
consumptionNode_24,consumptionNode_23,distributionRelation
consumptionNode_26,consumptionNode_25,distributionRelation
consumptionNode_27,consumptionNode_28,distributionRelation
consumptionNode_28,consumptionNode_22,distributionRelation
consumptionNode_30,consumptionNode_9,distributionRelation
consumptionNode_31,consumptionNode_30,distributionRelation
productionNode_1,consumptionNode_16,productionRelation
productionNode_1,consumptionNode_3,productionRelation
productionNode_1,consumptionNode_25,productionRelation
productionNode_2,consumptionNode_26,productionRelation
productionNode_2,consumptionNode_2,productionRelation
productionNode_3,consumptionNode_31,productionRelation
productionNode_3,consumptionNode_1,productionRelation
productionNode_3,consumptionNode_2,productionRelation
