node_id,node_type,max_value
consumptionNode_1,consumptionNode,89
consumptionNode_2,consumptionNode,81
consumptionNode_3,consumptionNode,86
consumptionNode_4,consumptionNode,60
consumptionNode_5,consumptionNode,70
consumptionNode_6,consumptionNode,73
consumptionNode_7,consumptionNode,100
consumptionNode_8,consumptionNode,95
consumptionNode_9,consumptionNode,63
consumptionNode_10,consumptionNode,72
consumptionNode_11,consumptionNode,85
consumptionNode_12,consumptionNode,77
consumptionNode_13,consumptionNode,60
consumptionNode_14,consumptionNode,60
consumptionNode_15,consumptionNode,61
consumptionNode_16,consumptionNode,78
consumptionNode_17,consumptionNode,87
consumptionNode_18,consumptionNode,82
consumptionNode_19,consumptionNode,61
consumptionNode_20,consumptionNode,85
consumptionNode_21,consumptionNode,82
consumptionNode_22,consumptionNode,83
consumptionNode_23,consumptionNode,66
productionNode_1,productionNode,1160
